"Estatus","1D_i","1B_i","1C1_i","1D_j","1B_j","1C1_j","NPV"
OK,67,44,60,12,12,9,276576890.64737815
OK,67,45,61,14,11,8,277469327.5862397
OK,67,45,60,13,12,8,275499452.45920235
OK,67,42,61,12,13,10,270878053.9157754
OK,67,42,60,14,13,10,268449330.52116746
OK,66,43,61,12,14,10,270841033.3809096
OK,67,42,61,14,12,9,272398603.19507086
OK,67,43,61,12,14,8,269710135.5702607
OK,66,44,60,12,13,9,274653612.65537655
OK,67,43,61,12,11,10,280645583.3650466
OK,66,45,60,12,12,9,278063465.54032683
OK,66,44,60,14,14,8,268924453.1350735
OK,67,43,61,14,14,9,268989927.2810138
OK,67,43,60,12,13,9,273151160.5458012
OK,67,45,60,13,13,9,276092481.89189136
OK,67,45,61,14,13,8,275038582.8889891
OK,67,45,61,13,12,9,277363535.96984994
OK,67,45,61,14,13,10,275979758.57241666
OK,67,42,61,12,12,10,274149207.0589488
OK,67,44,60,13,12,9,275310366.02760506
OK,67,44,61,14,11,8,277683543.25687057
OK,66,43,60,12,11,8,279053272.5562147
OK,67,43,60,12,13,8,271646844.9444758
OK,66,44,60,12,12,9,276739644.398354
OK,67,42,60,14,11,9,275797406.0785121
OK,66,44,61,12,12,9,277399671.70099056
OK,67,42,60,14,11,8,274443022.87625563
OK,66,43,61,12,12,10,276125647.0141031
OK,67,43,61,13,14,8,268325524.4629715
OK,67,44,60,13,13,8,271717711.93424183
OK,67,45,61,13,11,8,278081375.500703
OK,67,43,61,12,11,9,280873580.0318881
OK,66,44,60,12,11,9,279381579.1823171
OK,67,44,60,14,13,10,272680891.6218245
OK,67,45,61,12,13,9,278139693.12026286
OK,66,44,60,12,11,10,279539659.0177267
OK,67,45,60,14,13,8,274046486.26613635
OK,67,42,61,13,11,9,277210629.44689214
OK,66,45,61,12,13,10,278006166.77194643
OK,66,43,60,12,14,9,270332070.9507228
OK,66,43,61,12,14,9,271046166.09600246
OK,66,43,60,12,11,9,280213008.17802215
OK,67,43,60,12,14,8,268629237.0486061
OK,67,45,61,13,12,8,276540528.75957954
OK,67,42,61,13,12,8,271625099.79416096
OK,67,44,61,14,12,8,272829416.34749997
OK,67,44,61,14,13,8,272171190.32921475
OK,67,45,60,14,12,9,275976524.03313196
OK,67,42,61,13,13,10,269629946.0696101
OK,67,45,60,12,14,9,274833229.50798315
OK,67,44,61,12,12,8,274855183.2178582
OK,67,42,60,12,11,9,277732612.36293733
OK,67,42,60,13,11,9,276471305.18572485
OK,66,42,61,12,13,8,269786144.9891762
OK,66,45,60,12,14,9,274992386.1651771
OK,67,43,61,14,14,8,267648533.47202408
OK,67,43,60,12,12,8,273895710.9426507
OK,67,44,60,14,12,8,273247350.2536309
OK,66,43,60,12,12,8,273933611.2275662
OK,67,43,61,13,11,10,279283387.5053511
OK,66,43,61,12,11,10,280693419.50149995
OK,67,44,61,14,12,10,275117511.397304
OK,66,44,61,12,12,10,277232965.17415494
OK,67,44,61,14,11,10,277785109.31375104
OK,67,43,61,14,11,10,278638301.49025893
OK,67,45,61,14,12,10,276514609.4317763
OK,67,43,61,14,12,10,274109239.8111684
OK,67,44,60,14,12,10,274709148.9471036
OK,67,44,61,13,12,10,275859606.3259758
OK,67,43,61,14,12,9,274256527.87776715
OK,67,43,61,14,13,10,271813677.5412973
OK,67,42,61,14,12,10,272244787.0193368
OK,67,42,61,14,11,10,276358351.71156716
OK,67,44,61,14,13,10,273192207.2045633
OK,67,45,61,13,12,10,277146817.83664405
OK,67,43,61,14,11,9,278838247.7150767
OK,67,43,61,13,11,9,279493256.0320249
OK,67,43,60,14,11,10,278242189.6694049
OK,67,43,61,12,12,10,276020812.84205425
OK,67,42,61,14,13,9,269142573.89774233
OK,67,43,61,13,12,9,274927321.47152895
OK,67,43,60,13,12,10,274206740.69786227
OK,67,44,61,13,11,9,278709093.89143145
OK,67,43,60,14,13,9,271227870.22713333
OK,67,43,61,13,13,10,272451390.9815275
OK,67,42,60,14,12,10,271693619.63851744
OK,67,45,61,14,12,8,275914167.7293694
OK,67,43,61,14,11,8,278201528.2470581
OK,67,43,60,14,13,8,269626243.11232364
OK,66,43,61,12,13,10,273813225.43306386
OK,67,42,61,13,12,10,272898266.9542057
OK,67,43,61,14,14,10,268838410.90709114
OK,67,43,60,13,12,9,274170736.2286124
OK,67,43,61,12,13,10,273705396.28451276
OK,67,44,61,14,11,9,278046367.41220224
OK,67,43,60,14,11,9,278104067.4569789
OK,67,42,61,13,11,10,277023634.031242
OK,67,44,61,13,11,10,278470977.81497324
OK,67,43,61,14,13,9,271975927.1603028
OK,67,45,60,13,12,10,276720918.7034238
OK,67,44,61,14,12,9,275373958.1188446
OK,66,43,60,12,12,9,275569228.31695455
OK,67,45,61,14,11,10,277398208.2980107
OK,67,45,61,12,13,10,277902681.3085658
OK,67,44,60,14,12,9,274637291.0282778
OK,67,42,61,13,12,9,273070316.74177366
OK,67,44,60,14,14,9,270337710.7891365
OK,66,42,60,12,12,8,272016002.1118748
OK,67,42,60,13,12,9,272303018.627472
OK,67,44,61,12,11,10,279854999.03995967
OK,66,44,61,12,11,10,279835003.73749274
OK,67,44,61,12,11,8,279830118.95200354
OK,67,42,60,13,13,9,269019991.20603997
OK,67,45,61,14,12,9,276731232.41477984
OK,66,42,61,12,11,10,278397428.2944529
OK,67,44,61,12,13,10,275094754.1091848
OK,66,44,61,12,14,10,272924363.19613636
OK,67,45,61,12,13,8,277156047.9726476
OK,67,45,60,12,14,8,273467617.4602519
OK,67,43,61,13,13,8,271277167.05575675
OK,66,43,61,12,11,9,280845723.91720843
OK,67,45,61,13,11,9,278331423.8463627
OK,67,45,60,12,11,9,279021777.6644874
OK,67,43,60,13,12,8,272549760.7293668
OK,67,44,60,12,13,8,273039590.45598453
OK,67,44,61,14,14,10,270851690.43817604
OK,66,42,61,12,10,10,279910547.54028755
OK,66,43,61,12,10,10,282030101.4615493
OK,66,44,61,12,10,10,279158719.8968207
OK,67,43,61,13,10,10,280484151.709276
OK,67,43,61,14,10,10,279851456.0808928
OK,66,44,61,12,13,10,275215645.5533092
OK,67,44,61,13,10,10,277649212.24200964
OK,67,42,60,14,12,9,271654896.0863647
OK,67,42,61,14,10,10,277871069.7224269
OK,67,42,61,13,13,9,269827548.3145151
OK,67,43,60,14,10,9,279121023.8669444
OK,67,44,61,14,10,10,276963610.7676522
OK,66,42,61,12,12,10,274261241.245368
OK,67,43,60,14,14,9,268232927.32464588
OK,66,43,61,12,12,9,276277041.38276535
OK,67,42,60,14,13,9,268379808.50730604
OK,67,43,60,14,12,8,271835256.7204588
OK,66,42,61,12,12,9,274416711.46224624
OK,67,44,61,13,13,10,273840945.23677844
OK,67,43,61,12,12,9,276230691.3948438
OK,67,42,60,14,10,9,277371112.20551646
OK,67,43,60,14,14,8,266539710.42923886
OK,67,43,60,13,10,9,279792236.0773532
OK,67,42,61,13,10,10,278578129.5094194
OK,67,43,61,12,13,9,273984653.08414656
OK,67,44,61,12,10,10,279038215.99585843
OK,67,42,61,14,13,10,268988411.8166421
OK,67,43,61,14,12,8,272928628.49839574
OK,67,43,61,13,12,10,274761312.42721975
OK,67,43,60,14,12,9,273516227.9942415
OK,67,45,60,14,11,10,277037477.1864337
OK,67,42,61,12,13,10,270878053.9157754
OK,67,45,60,13,12,10,276720918.7034238
OK,67,44,61,13,10,9,277904831.60433894
OK,67,43,60,14,12,9,273516227.9942415
OK,67,44,60,13,14,9,271036650.7379694
OK,66,44,60,13,10,9,276123825.74418986
OK,66,44,61,12,10,8,279599936.9075853
OK,67,44,61,13,12,9,276050779.153744
OK,66,42,61,12,13,10,270990422.64358103
OK,66,44,60,13,11,8,276237049.73102826
OK,66,42,60,14,12,9,271773639.2069948
OK,67,45,60,14,11,8,276262648.40020055
OK,66,44,61,14,13,9,273490466.478921
OK,66,43,61,14,14,8,267770530.57332158
OK,66,43,60,13,13,9,270909484.3087468
OK,67,42,60,14,13,8,266703400.3288407
OK,66,45,61,12,11,9,279727677.845867
OK,67,42,61,13,10,8,278257929.2545296
OK,67,43,60,13,12,8,272549760.7293668
OK,66,43,61,12,13,9,273964829.48613894
OK,66,43,61,12,10,8,282636941.70056087
